Surge Cap Factor,Discount Factor,Peak Tariff (INR/kWh),OffPeak Tariff (INR/kWh),Projected Revenue Growth (%),Congestion Mitigation Rate (%),Consumer Acceptability Score
1.4,0.9,21.0,13.5,13.73,18.82,Marginal
1.4,0.85,21.0,12.75,13.34,18.82,Marginal
1.4,0.8,21.0,12.0,12.94,18.82,Marginal
1.4,0.75,21.0,11.25,12.53,18.82,Marginal
1.4,0.7,21.0,10.5,12.11,18.82,Marginal
1.35,0.9,20.25,13.5,12.17,15.82,Marginal
1.35,0.85,20.25,12.75,11.78,15.82,Marginal
1.35,0.8,20.25,12.0,11.38,15.82,Marginal
1.35,0.75,20.25,11.25,10.97,15.81,Marginal
1.35,0.7,20.25,10.5,10.54,15.81,Marginal
1.3333,0.9,20.0,13.5,11.63,14.85,Optimal/Safe
1.3333,0.85,20.0,12.75,11.24,14.85,Optimal/Safe
1.3333,0.8,20.0,12.0,10.84,14.85,Optimal/Safe
1.3333,0.75,20.0,11.25,10.43,14.85,Optimal/Safe
1.3333,0.7,20.0,10.5,10.0,14.85,Optimal/Safe
1.3,0.9,19.5,13.5,10.53,13.0,High
1.3,0.85,19.5,12.75,10.14,12.99,High
1.3,0.8,19.5,12.0,9.74,12.99,High
1.3,0.75,19.5,11.25,9.33,12.99,High
1.3,0.7,19.5,10.5,8.91,12.99,High
1.25,0.9,18.75,13.5,8.83,10.36,Excellent
1.25,0.85,18.75,12.75,8.44,10.36,Excellent
1.25,0.8,18.75,12.0,8.04,10.35,Excellent
1.25,0.75,18.75,11.25,7.63,10.35,Excellent
1.25,0.7,18.75,10.5,7.2,10.35,Excellent
1.2,0.9,18.0,13.5,7.05,7.91,Excellent
1.2,0.85,18.0,12.75,6.66,7.9,Excellent
1.2,0.8,18.0,12.0,6.26,7.9,Excellent
1.2,0.75,18.0,11.25,5.85,7.9,Excellent
1.2,0.7,18.0,10.5,5.43,7.9,Excellent
